UniqueMemberRef,MemberName,FirstName,LastName,Gender,DateOfBirth,YearOfBirth,Postcode,NHSNumber,ClientName,ClientIdentifier,SchemeCategory,SchemeIdentifier,Plan,Product,RegistrationStatus,JoinDate,LapseDate,ContractStartDate,ContractEndDate,LengthOfServiceYears
UM0003835,George Thomas,George,Thomas,Male,2007-03-19,2007,SW1A 1CU,5688396153,TrustHealth Ltd,C7960,Corporate,S96066,Standard,Standard,Pending,2014-08-31,,2014-01-29,2019-09-01,11
UM0003836,Alfie Robinson,Alfie,Robinson,Male,1966-09-05,1966,EN1 3GQ,1622621712,Healthcare Co,C3785,Family,S94444,Platinum,Standard,Active,2019-11-15,,2019-04-12,2022-06-14,5
UM0003837,Freddie Jones,Freddie,Jones,Male,1983-03-03,1983,KT1 7ZS,8099727081,Healthcare Co,C3317,Corporate,S52724,Gold,Enhanced,Active,2012-09-29,,2011-12-17,2019-09-20,13
UM0003838,Jack Robinson,Jack,Robinson,Male,1978-10-02,1978,E1 5FQ,0988501940,TrustHealth Ltd,C1421,Individual,S27182,Bronze,Executive,Active,2018-05-20,,2018-02-15,2021-10-28,7
UM0003839,Mia Robinson,Mia,Robinson,Female,1997-12-24,1997,HA1 2GD,6507869105,GlobalHealth Ltd,C7113,Corporate,S87189,Gold,Executive,Active,2016-08-03,,2016-03-17,2022-09-06,9
UM0003840,Isla Johnson,Isla,Johnson,Female,1986-04-29,1986,N1 9QJ,1218401079,BlueShield UK,C2781,Family,S64387,Standard,Standard,Active,2020-10-31,,2020-09-15,2026-10-30,5
UM0003841,Alfie Jones,Alfie,Jones,Male,1973-02-03,1973,B1 4DD,7571299413,Acme Corp,C5550,Individual,S46191,Standard,Standard,Active,2010-06-09,,2010-06-01,2014-05-14,15
UM0003842,Harry Jones,Harry,Jones,Male,2007-09-02,2007,W2 1NA,0210483239,Healthcare Co,C2520,Corporate,S15812,Silver,Standard,Active,2015-10-11,,2015-09-21,2020-10-22,10
UM0003843,Isabella Smith,Isabella,Smith,Female,2004-01-19,2004,UB1 9LY,5121098148,BlueShield UK,C8742,Corporate,S13767,Standard,Enhanced,Active,2022-07-23,,2022-01-23,2028-09-18,3
UM0003844,Isabella Davies,Isabella,Davies,Female,1996-04-23,1996,M1 5ZL,9942776831,Healthcare Co,C6044,Corporate,S85077,Platinum,Executive,Active,2021-11-27,,2021-10-08,2024-10-30,3
UM0003845,Freddie Johnson,Freddie,Johnson,Male,1984-03-02,1984,E1 0XG,1700986885,Healthcare Co,C3809,Corporate,S19587,Bronze,Enhanced,Lapsed,2021-09-16,2027-11-16,2021-02-26,2026-05-19,4
UM0003846,Grace Smith,Grace,Smith,Female,1986-04-08,1986,SE1 3TB,5788213177,Mercer Group,C1790,Family,S77768,Platinum,Enhanced,Active,2010-01-19,,2009-10-26,2015-12-30,15
UM0003847,Lily Wilson,Lily,Wilson,Female,1987-04-14,1987,SE1 3OY,2841501514,TrustHealth Ltd,C3283,Individual,S79874,Silver,Executive,Active,2017-04-21,,2016-05-07,2023-01-26,8
UM0003848,Isla Evans,Isla,Evans,Female,1981-12-22,1981,SE1 2PW,5131835792,Mercer Group,C6173,Family,S81227,Standard,Standard,Active,2023-09-04,,2022-12-07,2029-11-25,2
UM0003849,Emily Evans,Emily,Evans,Female,1983-05-09,1983,B1 4XR,7410654511,Acme Corp,C7522,Corporate,S46667,Bronze,Enhanced,Active,2017-10-19,,2017-09-25,2022-10-15,8
UM0003850,Charlie Wilson,Charlie,Wilson,Male,1968-12-09,1968,BR1 7DF,0200303546,Healthcare Co,C8772,Family,S97208,Enhanced,Executive,Active,2020-03-31,,2019-05-29,2025-12-27,5
UM0003851,Henry Johnson,Henry,Johnson,Male,1969-10-27,1969,SW1A 8HE,8500241392,TrustHealth Ltd,C2713,Corporate,S23768,Gold,Executive,Active,2020-07-25,,2019-10-13,2025-01-07,5
UM0003852,Sophie Davies,Sophie,Davies,Female,1977-07-01,1977,EC1A 6AS,1323526895,GlobalHealth Ltd,C5416,Individual,S96741,Silver,Enhanced,Active,2011-04-23,,2011-04-03,2018-05-29,14
UM0003853,Ava Brown,Ava,Brown,Female,1987-04-28,1987,W2 9AZ,5586596806,Acme Corp,C7923,Individual,S19590,Gold,Enhanced,Active,2015-04-09,,2014-09-30,2017-02-16,10
UM0003854,Evie Taylor,Evie,Taylor,Female,1986-12-09,1986,NW1 0EL,4762027231,Acme Corp,C1074,Individual,S57197,Platinum,Enhanced,Active,2017-01-06,,2016-10-07,2019-04-24,8
UM0003855,Noah Brown,Noah,Brown,Male,1990-02-10,1990,SE1 5BG,7954334706,TrustHealth Ltd,C6125,Corporate,S58980,Executive,Executive,Active,2021-08-29,,2021-08-02,2025-02-18,4
UM0003856,Olivia Thompson,Olivia,Thompson,Female,1992-01-24,1992,KT1 7ZH,7562678922,BlueShield UK,C7070,Individual,S53885,Executive,Enhanced,Active,2020-08-25,,2019-09-04,2021-06-29,5
UM0003857,Noah Evans,Noah,Evans,Male,1974-04-09,1974,EC1A 2JS,0583943969,BlueShield UK,C4579,Corporate,S74695,Executive,Enhanced,Active,2022-05-16,,2021-11-29,2028-07-11,3
UM0003858,Poppy Wright,Poppy,Wright,Female,1979-11-02,1979,W2 8EL,2568287953,Mercer Group,C2168,Corporate,S32774,Platinum,Executive,Active,2022-02-20,,2021-10-14,2022-11-18,3
UM0003859,Isla Robinson,Isla,Robinson,Female,1976-07-26,1976,M1 8TJ,6663847733,BlueShield UK,C2231,Individual,S72203,Bronze,Standard,Active,2011-07-02,,2011-04-15,2014-11-24,14
UM0003860,Isabella Wilson,Isabella,Wilson,Female,1964-05-11,1964,BR1 2VQ,0899419774,Mercer Group,C6023,Family,S75658,Bronze,Standard,Active,2022-02-03,,2021-12-30,2027-11-21,3
UM0003861,Jacob Thomas,Jacob,Thomas,Male,1989-10-23,1989,EC1A 8HZ,3494190065,GlobalHealth Ltd,C4671,Corporate,S65147,Executive,Executive,Active,2019-05-07,,2018-10-06,2026-04-19,6
UM0003862,Sophie Thompson,Sophie,Thompson,Female,1967-07-25,1967,EN1 7WA,9653696165,Healthcare Co,C8287,Individual,S94023,Standard,Enhanced,Active,2018-03-17,,2017-03-29,2021-02-08,7
UM0003863,Ella Thomas,Ella,Thomas,Female,1974-12-16,1974,SW1A 5KW,2461059717,Acme Corp,C2317,Individual,S94772,Executive,Executive,Active,2023-07-13,,2023-01-08,2025-06-08,2
UM0003864,Lily Thompson,Lily,Thompson,Female,1981-02-22,1981,W2 5EP,2012776668,Mercer Group,C8805,Corporate,S36515,Standard,Enhanced,Active,2023-09-11,,2022-12-11,2030-06-23,2
UM0003865,Ella Smith,Ella,Smith,Female,1972-01-22,1972,HA1 7TZ,3060111392,Mercer Group,C2347,Corporate,S11549,Silver,Enhanced,Active,2018-06-25,,2017-10-25,2025-12-28,7
UM0003866,Grace Taylor,Grace,Taylor,Female,1972-06-12,1972,B1 3JV,5330175821,Healthcare Co,C5735,Family,S30830,Bronze,Executive,Active,2012-12-10,,2012-07-18,2015-03-14,12
UM0003867,Sophia Williams,Sophia,Williams,Female,1989-05-06,1989,HA1 6VT,7589305675,BlueShield UK,C3005,Family,S38162,Gold,Enhanced,Active,2016-10-07,,2015-12-09,2019-06-23,9
UM0003868,James Thomas,James,Thomas,Male,1986-12-24,1986,LS1 7MP,4157735373,TrustHealth Ltd,C5348,Corporate,S29812,Bronze,Executive,Active,2017-02-12,,2016-05-14,2023-05-31,8
UM0003869,Ella Robinson,Ella,Robinson,Female,1978-12-04,1978,BR1 6OE,0049671338,GlobalHealth Ltd,C4652,Family,S40288,Gold,Standard,Active,2014-10-08,,2014-08-07,2017-09-01,11
UM0003870,Ella White,Ella,White,Female,1979-02-20,1979,W1A 2WW,6144347348,Acme Corp,C4034,Corporate,S95158,Bronze,Enhanced,Active,2013-05-01,,2012-05-12,2020-12-26,12
UM0003871,Charlie White,Charlie,White,Male,1979-07-13,1979,B1 6MX,7928001927,Acme Corp,C5589,Family,S12753,Gold,Executive,Active,2010-05-24,,2010-03-13,2015-11-02,15
UM0003872,James Thomas,James,Thomas,Male,1984-08-14,1984,LS1 6BB,1132345776,GlobalHealth Ltd,C5908,Family,S74982,Gold,Enhanced,Active,2023-01-04,,2022-09-11,2026-08-15,2
UM0003873,Olivia Taylor,Olivia,Taylor,Female,1972-09-26,1972,EC1A 8AX,5225571515,Healthcare Co,C4763,Individual,S22223,Gold,Enhanced,Active,2021-12-10,,2021-06-18,2022-12-27,3
UM0003874,Mia Wilson,Mia,Wilson,Female,1977-08-01,1977,BR1 1DY,0198846493,Healthcare Co,C2755,Corporate,S90589,Silver,Executive,Lapsed,2020-09-06,2023-01-31,2020-02-01,2024-07-07,5
UM0003875,William Wright,William,Wright,Male,1950-03-22,1950,E1 4PU,8820859808,Mercer Group,C9509,Family,S80756,Silver,Standard,Active,2021-08-13,,2021-04-22,2030-06-21,4
UM0003876,Ella Jones,Ella,Jones,Female,1975-10-28,1975,M1 5VU,4538239594,TrustHealth Ltd,C8614,Individual,S32553,Executive,Executive,Active,2014-11-27,,2014-11-04,2024-10-08,10
UM0003877,Olivia Wright,Olivia,Wright,Female,1992-08-31,1992,W1A 5JV,6306324713,Acme Corp,C6395,Corporate,S47940,Silver,Standard,Active,2020-06-30,,2019-09-28,2024-11-22,5
UM0003878,Olivia Jones,Olivia,Jones,Female,1971-04-04,1971,EN1 3TY,3822991352,Acme Corp,C6526,Family,S11268,Enhanced,Enhanced,Active,2020-12-14,,2020-04-06,2027-08-27,4
UM0003879,Jacob Thomas,Jacob,Thomas,Male,1979-05-22,1979,EC1A 5RM,1383916107,Acme Corp,C8795,Family,S44937,Gold,Standard,Active,2010-10-23,,2010-02-13,2019-04-29,15
UM0003880,Ella Robinson,Ella,Robinson,Female,1993-04-13,1993,NW1 9GH,5647433410,BlueShield UK,C5484,Individual,S86290,Bronze,Executive,Active,2015-12-30,,2015-06-19,2019-05-14,9
UM0003881,Oscar Wilson,Oscar,Wilson,Male,1967-06-01,1967,W1A 9PD,5333091438,TrustHealth Ltd,C4554,Family,S25042,Gold,Enhanced,Active,2013-09-05,,2013-01-26,2022-08-26,12
UM0003882,Thomas Johnson,Thomas,Johnson,Male,1979-05-15,1979,NW1 1SS,6475317977,Healthcare Co,C9588,Family,S63841,Platinum,Enhanced,Active,2019-12-24,,2019-01-02,2028-02-14,5
UM0003883,Jack Taylor,Jack,Taylor,Male,1978-01-31,1978,B1 3ZI,4401683368,TrustHealth Ltd,C4988,Family,S52684,Bronze,Executive,Active,2014-06-13,,2013-11-08,2018-01-19,11
UM0003884,Olivia Harris,Olivia,Harris,Female,1998-09-05,1998,NW1 0WN,0790269890,Mercer Group,C4681,Individual,S86372,Platinum,Executive,Active,2018-05-04,,2018-04-30,2022-01-10,7
UM0003885,Arthur Wright,Arthur,Wright,Male,1999-03-30,1999,LS1 1UX,0472982584,TrustHealth Ltd,C3445,Corporate,S26819,Standard,Executive,Active,2010-06-14,,2010-05-16,2011-06-24,15
UM0003886,Ava Wilson,Ava,Wilson,Female,1988-08-23,1988,SW1A 8TB,6862252713,Acme Corp,C7594,Family,S66814,Bronze,Standard,Active,2011-05-03,,2010-11-03,2020-10-25,14
UM0003887,Charlotte Wilson,Charlotte,Wilson,Female,1983-12-20,1983,SW3 4ET,8973044683,Mercer Group,C6197,Family,S83259,Standard,Executive,Active,2020-06-05,,2019-10-03,2025-02-10,5
UM0003888,Jack Williams,Jack,Williams,Male,1979-10-13,1979,EC1A 0YZ,4928517481,BlueShield UK,C5974,Corporate,S11602,Enhanced,Standard,Active,2014-07-12,,2014-03-22,2024-01-30,11
UM0003889,Evie Johnson,Evie,Johnson,Female,1979-02-22,1979,SW1A 6GT,7044884770,TrustHealth Ltd,C7667,Individual,S50460,Bronze,Enhanced,Active,2021-08-07,,2020-10-03,2026-09-11,4
UM0003890,Poppy Harris,Poppy,Harris,Female,1966-08-06,1966,SE1 4QB,8203585742,Acme Corp,C2759,Individual,S17876,Gold,Standard,Active,2014-03-28,,2013-03-31,2021-06-01,11
UM0003891,Alfie Robinson,Alfie,Robinson,Male,1981-03-08,1981,E1 8TU,3919854088,Mercer Group,C6735,Corporate,S13339,Standard,Standard,Lapsed,2016-09-17,2019-01-10,2015-11-22,2017-12-14,9
UM0003892,Sophia Wright,Sophia,Wright,Female,1994-04-03,1994,EN1 3SD,1297715214,Acme Corp,C1531,Individual,S71517,Gold,Executive,Active,2014-07-17,,2013-11-01,2022-04-06,11
UM0003893,George Thompson,George,Thompson,Male,1989-08-24,1989,UB1 3SD,7154288116,Healthcare Co,C2411,Individual,S53415,Enhanced,Executive,Active,2014-10-09,,2013-10-16,2015-02-11,11
UM0003894,William Harris,William,Harris,Male,1979-08-15,1979,EN1 9OC,4712368616,TrustHealth Ltd,C7960,Family,S11470,Gold,Enhanced,Active,2020-07-22,,2019-09-25,2026-02-10,5
UM0003895,Charlie Smith,Charlie,Smith,Male,1980-01-11,1980,B1 2FW,6491607691,Acme Corp,C2874,Family,S59337,Platinum,Standard,Active,2012-07-31,,2011-08-18,2019-02-02,13
UM0003896,Harry White,Harry,White,Male,1995-08-26,1995,W2 6XM,6057125232,Healthcare Co,C6327,Corporate,S89184,Standard,Executive,Active,2018-05-13,,2018-02-21,2020-07-09,7
UM0003897,Oscar Brown,Oscar,Brown,Male,2004-10-18,2004,SW3 7OQ,8333131464,Acme Corp,C4689,Individual,S35350,Platinum,Executive,Active,2023-08-05,,2023-03-11,2027-10-08,2
UM0003898,Jacob Smith,Jacob,Smith,Male,1994-03-19,1994,LS1 9KQ,5296140989,Healthcare Co,C1044,Individual,S53982,Gold,Standard,Lapsed,2014-06-18,2021-03-14,2013-07-13,2021-10-01,11
UM0003899,Freddie Robinson,Freddie,Robinson,Male,1975-12-20,1975,BR1 4HT,7748572751,TrustHealth Ltd,C1415,Individual,S42009,Silver,Executive,Active,2019-11-05,,2018-11-19,2022-05-01,5
UM0003900,Jacob Williams,Jacob,Williams,Male,1987-03-24,1987,SE1 2KP,4140923801,Acme Corp,C7111,Individual,S72037,Silver,Enhanced,Active,2018-07-20,,2018-06-12,2026-01-05,7
UM0003901,Freddie Robinson,Freddie,Robinson,Male,1990-09-25,1990,N1 5NS,1764569018,GlobalHealth Ltd,C8727,Individual,S77810,Gold,Executive,Active,2020-06-04,,2019-10-20,2025-11-15,5
UM0003902,Olivia Thomas,Olivia,Thomas,Female,1986-07-27,1986,LS1 4YP,0053211303,TrustHealth Ltd,C1616,Family,S62323,Silver,Executive,Active,2022-02-08,,2021-07-26,2022-12-03,3
UM0003903,Isla Thomas,Isla,Thomas,Female,1967-02-07,1967,SE1 5EZ,8942661483,Mercer Group,C8319,Family,S71113,Silver,Enhanced,Active,2011-07-20,,2011-04-12,2012-07-25,14
UM0003904,Oliver Brown,Oliver,Brown,Male,1984-08-17,1984,W2 4IB,7164737710,Acme Corp,C7348,Family,S56500,Standard,Standard,Active,2021-04-13,,2020-05-07,2023-08-20,4
UM0003905,Grace White,Grace,White,Female,1972-06-11,1972,W1A 7AW,2095048116,Healthcare Co,C8960,Corporate,S13216,Platinum,Enhanced,Active,2023-04-19,,2022-09-20,2027-04-11,2
UM0003906,Isla Jones,Isla,Jones,Female,1976-02-19,1976,HA1 8NJ,4450608678,Mercer Group,C8936,Corporate,S45604,Standard,Standard,Active,2013-11-25,,2013-09-17,2016-09-07,11
UM0003907,Charlie Wilson,Charlie,Wilson,Male,1973-05-11,1973,W1A 4DG,1329593911,BlueShield UK,C8341,Corporate,S42391,Enhanced,Standard,Active,2019-03-01,,2018-12-07,2021-10-10,6
UM0003908,Grace Wilson,Grace,Wilson,Female,1964-03-11,1964,B1 6TS,9779349440,BlueShield UK,C2437,Individual,S30887,Gold,Standard,Active,2021-09-22,,2021-02-13,2030-04-07,4
UM0003909,Alfie Robinson,Alfie,Robinson,Male,1981-01-23,1981,N1 5PL,2261519574,Acme Corp,C9771,Corporate,S42498,Silver,Enhanced,Active,2023-11-03,,2023-05-19,2027-10-23,1
UM0003910,Mia Davies,Mia,Davies,Female,1966-05-08,1966,BR1 0AQ,0916944058,TrustHealth Ltd,C8939,Corporate,S60269,Standard,Executive,Active,2013-07-01,,2013-04-19,2021-10-10,12
UM0003911,Harry Brown,Harry,Brown,Male,1979-02-11,1979,B1 2CZ,6951860290,Healthcare Co,C9827,Individual,S47566,Gold,Enhanced,Active,2011-11-03,,2011-10-03,2013-05-29,14
UM0003912,Ella Taylor,Ella,Taylor,Female,1980-04-29,1980,EC1A 9JG,4597200112,BlueShield UK,C9703,Individual,S68452,Standard,Enhanced,Active,2010-06-10,,2010-02-08,2019-02-20,15
UM0003913,William Davies,William,Davies,Male,1972-12-12,1972,SE1 5AI,8373678215,Acme Corp,C4816,Individual,S14302,Platinum,Standard,Active,2021-09-26,,2021-07-02,2024-06-25,4
UM0003914,Thomas Taylor,Thomas,Taylor,Male,2004-10-11,2004,KT1 6JD,4594404438,Mercer Group,C8511,Corporate,S31492,Executive,Standard,Active,2013-05-17,,2012-12-11,2019-02-19,12
UM0003915,Oliver Davies,Oliver,Davies,Male,1969-04-08,1969,SW1A 9JT,6735966129,Healthcare Co,C8796,Family,S23245,Standard,Executive,Active,2023-03-10,,2022-06-05,2024-06-10,2
UM0003916,Freddie Harris,Freddie,Harris,Male,1979-08-14,1979,M1 9JA,3109286545,BlueShield UK,C8380,Corporate,S83503,Executive,Enhanced,Active,2014-09-18,,2014-06-10,2019-09-17,11
UM0003917,Grace Evans,Grace,Evans,Female,1976-07-25,1976,M1 9PA,1961783331,Healthcare Co,C4487,Individual,S26779,Enhanced,Enhanced,Active,2022-04-01,,2021-11-25,2029-05-13,3
UM0003918,Ava Williams,Ava,Williams,Female,1976-02-16,1976,KT1 9GS,4852762752,Mercer Group,C1010,Family,S72764,Standard,Executive,Active,2010-07-15,,2010-03-03,2013-11-12,15
UM0003919,Henry Jones,Henry,Jones,Male,1990-08-29,1990,M1 3TT,4721835409,Mercer Group,C4578,Corporate,S33036,Standard,Enhanced,Active,2016-09-05,,2015-11-22,2022-02-06,9
UM0003920,Amelia Thomas,Amelia,Thomas,Female,1966-12-10,1966,EC1A 8UK,2424545030,GlobalHealth Ltd,C9444,Individual,S69008,Bronze,Enhanced,Active,2015-10-12,,2015-09-06,2022-05-09,10
UM0003921,Isabella Wright,Isabella,Wright,Female,1984-03-24,1984,UB1 0ZX,1179125406,Healthcare Co,C6984,Family,S33592,Bronze,Standard,Active,2011-12-28,,2011-08-23,2019-08-23,13
UM0003922,Mia Wright,Mia,Wright,Female,1985-11-11,1985,SW3 4VQ,1296303578,Mercer Group,C9090,Corporate,S80087,Bronze,Enhanced,Active,2011-02-26,,2011-01-21,2019-10-12,14
UM0003923,Isabella Wright,Isabella,Wright,Female,1982-04-04,1982,W1A 4VW,6998703642,BlueShield UK,C9355,Corporate,S56959,Standard,Standard,Active,2016-04-18,,2016-03-06,2023-11-23,9
UM0003924,Arthur Harris,Arthur,Harris,Male,1983-12-29,1983,KT1 7WR,4852604789,BlueShield UK,C1960,Corporate,S35479,Gold,Executive,Active,2022-08-19,,2021-09-20,2027-02-23,3
UM0003925,James Davies,James,Davies,Male,1982-08-12,1982,HA1 7XE,6846499397,Acme Corp,C1053,Corporate,S53537,Executive,Executive,Active,2012-07-28,,2011-10-26,2021-05-03,13
UM0003926,Oliver Jones,Oliver,Jones,Male,1965-08-16,1965,EC1A 9BI,9545208758,Healthcare Co,C6639,Corporate,S92200,Executive,Standard,Active,2022-04-04,,2021-08-18,2025-12-18,3
UM0003927,James Smith,James,Smith,Male,1971-06-02,1971,KT1 1EO,7830290111,BlueShield UK,C1285,Family,S12994,Platinum,Enhanced,Active,2017-09-24,,2017-05-28,2019-04-27,8
UM0003928,James Robinson,James,Robinson,Male,1980-06-03,1980,LS1 0JL,5819389238,BlueShield UK,C6796,Family,S65966,Gold,Executive,Lapsed,2019-01-31,2025-05-01,2018-11-16,2027-06-19,6
UM0003929,Jacob Davies,Jacob,Davies,Male,1985-05-29,1985,SE1 7JJ,2295285684,TrustHealth Ltd,C8903,Corporate,S21272,Silver,Enhanced,Active,2013-09-18,,2012-12-07,2014-06-30,12
UM0003930,Oscar Robinson,Oscar,Robinson,Male,1971-07-20,1971,SE1 8RJ,0570939228,Acme Corp,C9277,Corporate,S33475,Gold,Standard,Active,2021-10-04,,2021-07-04,2022-12-30,4
UM0003931,Ava Wright,Ava,Wright,Female,1965-02-14,1965,NW1 3FB,9087847816,GlobalHealth Ltd,C5012,Corporate,S30178,Silver,Enhanced,Active,2017-12-12,,2017-07-11,2019-10-27,7
UM0003932,Charlie Wright,Charlie,Wright,Male,1978-04-17,1978,LS1 2KG,9752839585,GlobalHealth Ltd,C4488,Individual,S52728,Enhanced,Standard,Active,2020-01-09,,2019-08-25,2021-05-13,5
UM0003933,Charlotte Harris,Charlotte,Harris,Female,1995-11-21,1995,BR1 1NG,8022260752,BlueShield UK,C3118,Individual,S30231,Silver,Executive,Active,2021-07-25,,2021-04-24,2023-04-27,4
UM0003934,Charlotte Smith,Charlotte,Smith,Female,1964-02-01,1964,EN1 8RM,0699875305,GlobalHealth Ltd,C1969,Family,S15814,Platinum,Executive,Active,2021-04-10,,2020-04-10,2023-01-11,4
UM0003935,Oscar Wilson,Oscar,Wilson,Male,1975-12-25,1975,W2 7PR,4611581523,TrustHealth Ltd,C9982,Corporate,S62346,Silver,Standard,Active,2010-11-30,,2010-06-19,2011-10-21,14
UM0003936,Alfie Williams,Alfie,Williams,Male,1973-10-27,1973,W1A 4XD,5258507060,Acme Corp,C4468,Family,S52493,Bronze,Executive,Active,2020-05-09,,2019-09-08,2026-05-09,5
UM0003937,Evie White,Evie,White,Female,1972-11-03,1972,KT1 4LA,6140700793,BlueShield UK,C8717,Individual,S31255,Gold,Standard,Active,2018-02-04,,2017-11-17,2027-07-16,7
UM0003938,Evie Harris,Evie,Harris,Female,1981-04-01,1981,EN1 4JB,4641674477,Healthcare Co,C4922,Individual,S70123,Executive,Standard,Active,2022-04-11,,2021-10-22,2025-04-07,3
UM0003939,George Wright,George,Wright,Male,1959-04-05,1959,BR1 6VE,6385596125,BlueShield UK,C6695,Corporate,S22164,Platinum,Enhanced,Active,2017-07-05,,2017-02-25,2023-09-07,8
UM0003940,Ella Harris,Ella,Harris,Female,1985-07-24,1985,EN1 6NS,2478845631,BlueShield UK,C4474,Individual,S83845,Bronze,Standard,Active,2021-03-12,,2021-03-09,2026-10-05,4
UM0003941,Thomas Wilson,Thomas,Wilson,Male,1990-02-12,1990,W1A 2GT,3670884861,Acme Corp,C4764,Family,S68219,Silver,Standard,Active,2017-07-05,,2016-09-14,2019-08-05,8
UM0003942,Ava Harris,Ava,Harris,Female,1973-08-10,1973,BR1 6SM,1812049023,TrustHealth Ltd,C9780,Corporate,S10220,Standard,Enhanced,Active,2013-11-06,,2013-03-24,2019-10-15,11
UM0003943,Isla Harris,Isla,Harris,Female,1976-03-14,1976,EC1A 9DL,0065596119,Mercer Group,C2592,Individual,S81706,Gold,Executive,Active,2010-12-08,,2010-10-07,2013-06-20,14
UM0003944,Freddie Evans,Freddie,Evans,Male,1964-08-27,1964,E1 2TO,7725753673,TrustHealth Ltd,C5321,Individual,S30681,Enhanced,Enhanced,Active,2013-08-07,,2012-12-26,2019-09-12,12
UM0003945,Isabella Harris,Isabella,Harris,Female,1981-11-26,1981,EN1 7SM,9306406129,GlobalHealth Ltd,C2086,Family,S64203,Enhanced,Enhanced,Active,2011-02-19,,2010-08-11,2011-11-03,14
UM0003946,Oliver Smith,Oliver,Smith,Male,1980-12-05,1980,N1 5GB,7828964259,TrustHealth Ltd,C4137,Corporate,S12582,Executive,Executive,Active,2012-05-09,,2011-05-25,2014-04-30,13
UM0003947,Arthur Williams,Arthur,Williams,Male,1977-03-21,1977,E1 8SY,6370989820,TrustHealth Ltd,C2484,Individual,S39846,Bronze,Enhanced,Active,2017-12-16,,2017-03-30,2020-04-17,7
UM0003948,Sophie Evans,Sophie,Evans,Female,1987-10-28,1987,W2 3UK,4825845427,Healthcare Co,C6885,Family,S36190,Silver,Standard,Active,2014-05-06,,2013-07-27,2017-05-13,11
UM0003949,Poppy Thompson,Poppy,Thompson,Female,1981-08-13,1981,M1 6YW,3780203762,TrustHealth Ltd,C3735,Individual,S81480,Executive,Enhanced,Active,2019-08-27,,2018-09-29,2025-01-26,6
UM0003950,Sophie Brown,Sophie,Brown,Female,1986-03-24,1986,EC1A 2LA,6538581579,Acme Corp,C3005,Family,S83069,Bronze,Standard,Active,2020-10-15,,2020-07-19,2023-12-05,5
UM0003951,Alfie Robinson,Alfie,Robinson,Male,1951-04-13,1951,E1 7ZQ,9443678375,BlueShield UK,C1523,Family,S87856,Silver,Standard,Active,2019-09-06,,2019-07-18,2029-05-05,6
UM0003952,Henry Taylor,Henry,Taylor,Male,1993-09-19,1993,HA1 9EO,8774588094,TrustHealth Ltd,C4766,Individual,S63367,Standard,Standard,Active,2014-12-23,,2014-10-08,2023-09-06,10
UM0003953,Freddie Taylor,Freddie,Taylor,Male,1983-06-30,1983,UB1 0ZN,6249417517,TrustHealth Ltd,C5565,Family,S33549,Executive,Enhanced,Active,2013-01-11,,2012-08-11,2021-09-16,12
UM0003954,Amelia Wright,Amelia,Wright,Female,1970-07-16,1970,EN1 1EX,4685876884,GlobalHealth Ltd,C6588,Corporate,S13314,Enhanced,Executive,Active,2016-11-21,,2016-09-24,2026-09-01,8
UM0003955,James Wilson,James,Wilson,Male,1985-02-07,1985,NW1 3PM,5344899544,Healthcare Co,C5766,Individual,S46676,Enhanced,Standard,Active,2020-08-03,,2020-01-24,2029-01-26,5
UM0003956,Oscar Thomas,Oscar,Thomas,Male,1985-08-31,1985,KT1 4PE,4616370281,Healthcare Co,C1348,Individual,S36751,Gold,Enhanced,Lapsed,2010-08-01,2017-04-23,2009-10-01,2019-09-01,15
UM0003957,Charlie Harris,Charlie,Harris,Male,1970-02-09,1970,HA1 4UD,0527233814,BlueShield UK,C4006,Individual,S34197,Gold,Enhanced,Lapsed,2024-03-18,2025-10-12,2023-06-14,2026-01-06,1
UM0003958,Noah Johnson,Noah,Johnson,Male,1968-07-05,1968,EN1 4HD,5213422200,Healthcare Co,C1616,Individual,S75669,Bronze,Standard,Active,2010-06-23,,2009-10-06,2011-09-30,15
UM0003959,Mia Evans,Mia,Evans,Female,1968-02-08,1968,SE1 4RK,8919314153,BlueShield UK,C4088,Family,S27438,Standard,Enhanced,Active,2024-01-04,,2023-02-12,2025-04-14,1
UM0003960,Oliver Smith,Oliver,Smith,Male,1961-07-31,1961,BR1 6DF,4550897739,Mercer Group,C9922,Corporate,S58568,Platinum,Standard,Active,2019-10-26,,2019-01-16,2023-01-09,6
UM0003961,Noah Robinson,Noah,Robinson,Male,1981-12-31,1981,SW1A 3SK,2308103742,Mercer Group,C6815,Corporate,S84584,Bronze,Enhanced,Active,2018-03-28,,2017-06-16,2026-07-26,7
UM0003962,Evie Johnson,Evie,Johnson,Female,1991-05-29,1991,UB1 5KS,2148714905,TrustHealth Ltd,C4313,Family,S94320,Platinum,Enhanced,Active,2016-09-12,,2016-05-25,2022-06-26,9
UM0003963,Mia Wilson,Mia,Wilson,Female,1983-06-27,1983,E1 8TA,7104720399,Mercer Group,C4526,Corporate,S70908,Executive,Executive,Active,2019-10-27,,2018-11-06,2024-02-23,6
UM0003964,Lily Johnson,Lily,Johnson,Female,1963-12-09,1963,NW1 7BY,1831563227,TrustHealth Ltd,C2372,Individual,S81641,Silver,Enhanced,Lapsed,2024-03-09,2030-12-07,2023-12-08,2027-03-29,1
